"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
412479267,"Asterina gibbosa","(Pennant, 1777)","1986-05-07 12:00:00",-5.482404677762379,54.3556404516675,"Centre for Environmental Data and Recording","45937","199654208","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Down Rock",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45937:199654208",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Trevor Telfer",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1986"
412480397,"Asterina gibbosa","(Pennant, 1777)","1986-05-22 12:00:00",-5.53721355838091,54.339696031957104,"Centre for Environmental Data and Recording","45936","199645614","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Kilclief Point",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45936:199645614",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Trevor Telfer",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1986"
412480576,"Asterina gibbosa","(Pennant, 1777)","2005-08-23 12:00:00",-5.638988199473599,54.4423854705636,"Centre for Environmental Data and Recording","45980","199709366","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Ringhaddy Rapids area",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45980:199709366",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Julia Nunn",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"2005"
412480782,"Asterina gibbosa","(Pennant, 1777)","2007-08-29 12:00:00",-5.5727072994782905,54.5201572810592,"Centre for Environmental Data and Recording","45982","199710258","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"South Island",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45982:199710258",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Julia Nunn",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"2007"
412481333,"Asterina gibbosa","(Pennant, 1777)","1985-05-16 12:00:00",-5.8702802112605,54.1743901916479,"Centre for Environmental Data and Recording","45935","199637608","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Bloody Bridge",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45935:199637608",,"present","Valvatida",,,,,,"Echinodermata",1072168063,,"Ian Fuller",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1985"
412481618,"Asterina gibbosa","(Pennant, 1777)","1987-05-03 12:00:00",-5.54382480542563,54.4350951814422,"Centre for Environmental Data and Recording","45936","199675715","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"The Dorn sediment",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45936:199675715",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Trevor Telfer",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1987"
412483411,"Asterina gibbosa","(Pennant, 1777)","1985-06-26 12:00:00",-5.53964712336933,54.4790470490345,"Centre for Environmental Data and Recording","45936","199649262","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Black Neb",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45936:199649262",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Trevor Telfer",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1985"
412483576,"Asterina gibbosa","(Pennant, 1777)","2009-06-26 12:00:00",-5.670819609491231,54.234505301891495,"Centre for Environmental Data and Recording","45994","199706543","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Corely Point",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45994:199706543",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Julia Nunn",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"2009"
412483970,"Asterina gibbosa","(Pennant, 1777)","1985-07-01 12:00:00",-5.580379980634849,54.6775812261197,"Centre for Environmental Data and Recording","45937","199657353","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"Orlock Point",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45937:199657353",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Trevor Telfer",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1985"
412484005,"Asterina gibbosa","(Pennant, 1777)","2010-08-11 12:00:00",-5.54579407189012,54.427945506808605,"Centre for Environmental Data and Recording","45985","199712102","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,"Occurrence",,,"Asteroidea",,"Europe",,"70.7",,,,"IMIS:dasid:3233",,,,,,,,,"Asterinidae",,,,,,"Asterina","EPSG:4326",,,,,,,,,,,,,,,,,,,,"Animalia",,,"The Dorn",,,,,,,"2014-04-30 15:10:15",,,,,,"urn:catalog:Centre for Environmental Data and Recording:45985:199712102",,"present","Valvatida",,,,,,"Echinodermata",1073216639,,"Julia Nunn",,,3115,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"2010"
